,createdAt,territory,COUNT
0,2020-11,33,0
1,2020-11,33,0
2,2020-11,33,0
3,2020-11,33,0
4,2020-11,33,0
5,2020-11,33,0
6,2020-11,33,1
7,2020-11,33,0
8,2020-11,33,0
9,2020-11,33,0
10,2020-11,33,0
11,2020-11,33,0
12,2020-11,33,1
13,2020-11,33,1
14,2020-11,33,1
15,2020-11,33,1
16,2020-11,33,0
17,2020-11,33,1
18,2020-11,33,0
19,2020-11,33,1
20,2020-11,33,1
21,2020-11,33,1
22,2020-11,33,1
23,2020-11,33,0
24,2020-11,33,0
25,2020-11,33,0
26,2020-11,33,0
27,2020-11,33,1
28,2020-11,33,1
29,2020-11,33,1
30,2020-11,33,0
31,2020-11,33,1
32,2020-11,33,1
33,2020-11,33,0
34,2020-11,33,0
35,2020-11,33,0
36,2020-11,33,1
37,2020-11,33,0
38,2020-11,33,0
39,2020-11,33,0
40,2020-11,33,0
41,2020-11,33,0
42,2020-11,33,0
43,2020-11,33,0
44,2020-11,33,2
45,2020-11,33,0
46,2020-11,33,0
47,2020-11,33,0
48,2020-11,33,0
49,2020-11,33,0
50,2020-11,33,0
51,2020-11,33,0
52,2020-11,33,0
53,2020-11,33,0
54,2020-11,33,0
55,2020-11,33,0
56,2020-11,33,0
57,2020-11,33,0
58,2020-11,33,0
59,2020-11,33,0
60,2020-11,33,0
61,2020-11,33,0
62,2020-11,33,0
63,2020-11,33,0
64,2020-11,33,3
65,2020-11,33,0
66,2020-11,33,1
67,2020-11,33,0
68,2020-11,33,0
69,2020-11,33,0
70,2020-11,33,0
71,2020-11,33,0
72,2020-11,33,0
73,2020-11,33,0
74,2020-11,33,0
75,2020-11,33,0
76,2020-11,33,0
77,2020-11,33,0
78,2020-11,33,0
79,2020-11,33,0
80,2020-11,33,0
81,2020-11,33,0
82,2020-11,33,0
83,2020-11,33,1
84,2020-11,33,0
85,2020-11,33,0
86,2020-11,33,0
87,2020-11,33,0
88,2020-11,33,1
89,2020-11,33,0
90,2020-11,33,0
91,2020-11,33,1
92,2020-11,33,0
93,2020-11,33,0
94,2020-11,33,0
95,2020-11,33,0
96,2020-11,33,0
97,2020-11,33,0
98,2020-11,33,0
99,2020-11,33,1
100,2020-11,33,0
101,2020-11,33,0
102,2020-11,33,0
103,2020-11,33,1
104,2020-11,33,0
105,2020-11,33,0
106,2020-11,33,0
107,2020-11,33,0
108,2020-11,33,0
109,2020-11,33,0
110,2020-11,33,0
111,2020-11,33,0
112,2020-11,33,0
113,2020-11,33,1
114,2020-11,33,0
115,2020-11,33,0
116,2020-11,33,0
117,2020-11,33,0
118,2020-11,33,0
119,2020-11,33,0
120,2020-11,33,0
121,2020-11,33,0
122,2020-11,33,1
123,2020-11,33,0
124,2020-11,33,0
125,2020-11,33,1
126,2020-11,33,0
127,2020-11,33,0
128,2020-11,33,1
129,2020-11,33,0
130,2020-11,33,0
131,2020-11,33,1
132,2020-11,33,0
133,2020-11,33,1
134,2020-11,33,1
135,2020-11,33,0
136,2020-11,33,1
137,2020-11,33,1
138,2020-11,33,0
139,2020-11,33,0
140,2020-11,33,1
141,2020-11,33,1
142,2020-11,33,0
143,2020-11,33,0
144,2020-11,33,0
145,2020-11,33,0
146,2020-11,33,0
147,2020-11,33,2
148,2020-11,33,1
149,2020-11,33,0
150,2020-11,33,2
151,2020-11,33,1
152,2020-11,33,1
153,2020-11,33,0
154,2020-11,33,1
155,2020-11,33,1
156,2020-11,33,0
157,2020-11,33,0
158,2020-11,33,0
159,2020-11,33,0
160,2020-11,33,1
161,2020-11,33,1
162,2020-11,33,0
163,2020-11,33,1
164,2020-11,33,1
165,2020-11,33,0
166,2020-11,33,0
167,2020-11,33,1
168,2020-11,33,1
169,2020-11,33,0
170,2020-11,33,0
171,2020-11,33,0
172,2020-11,33,1
173,2020-11,33,1
174,2020-11,33,1
175,2020-11,33,0
176,2020-11,33,1
177,2020-11,33,0
178,2020-11,33,1
179,2020-11,33,0
180,2020-11,33,0
181,2020-11,33,1
182,2020-11,33,0
183,2020-11,33,0
184,2020-11,33,0
185,2020-11,33,1
186,2020-11,33,1
187,2020-11,33,0
188,2020-11,33,0
189,2020-11,33,1
190,2020-11,33,0
191,2020-11,33,0
192,2020-11,33,0
193,2020-11,33,0
194,2020-11,33,0
195,2020-11,33,0
196,2020-11,33,31
197,2020-11,33,1
198,2020-11,33,0
199,2020-11,33,0
200,2020-11,33,1
201,2020-11,33,0
202,2020-11,33,1
203,2020-11,33,0
204,2020-11,33,0
205,2020-11,33,1
206,2020-11,33,0
207,2020-11,33,0
208,2020-11,33,2
209,2020-11,33,2
210,2020-11,33,1
211,2020-11,33,1
212,2020-11,33,1
213,2020-11,33,1
214,2020-11,33,0
215,2020-11,33,1
216,2020-11,33,0
217,2020-11,33,1
218,2020-11,33,0
219,2020-11,33,0
220,2020-11,33,0
221,2020-11,33,0
222,2020-11,33,1
223,2020-11,33,2
224,2020-11,33,1
225,2020-11,33,1
226,2020-11,33,1
227,2020-11,33,3
228,2020-11,33,0
229,2020-11,33,1
230,2020-11,33,0
231,2020-11,33,1
232,2020-11,33,0
233,2020-11,33,0
234,2020-11,33,1
235,2020-11,33,1
236,2020-11,33,1
237,2020-11,33,0
238,2020-11,33,1
239,2020-11,33,0
240,2020-11,33,2
241,2020-11,33,0
242,2020-11,33,1
243,2020-11,33,1
244,2020-11,33,0
245,2020-11,33,0
246,2020-11,33,0
247,2020-11,33,1
248,2020-11,33,0
249,2020-11,33,1
250,2020-11,33,2
251,2020-11,33,0
252,2020-11,33,0
253,2020-11,33,1
254,2020-11,33,1
255,2020-11,33,1
256,2020-11,33,2
257,2020-11,33,1
258,2020-11,33,1
259,2020-11,33,1
260,2020-11,33,1
261,2020-11,33,1
262,2020-11,33,1
263,2020-11,33,0
264,2020-11,33,0
265,2020-11,33,0
266,2020-11,33,1
267,2020-11,33,0
268,2020-11,33,1
269,2020-11,33,0
270,2020-11,33,1
271,2020-11,33,0
272,2020-11,33,0
273,2020-11,33,1
274,2020-11,33,1
275,2020-11,33,2
276,2020-11,33,1
277,2020-11,33,0
278,2020-11,33,0
279,2020-11,33,1
280,2020-11,33,1
281,2020-11,33,0
282,2020-11,33,1
283,2020-11,33,1
284,2020-11,33,1
285,2020-11,33,1
286,2020-11,33,0
287,2020-11,33,0
288,2020-11,33,1
289,2020-11,33,1
290,2020-11,33,1
291,2020-11,33,0
292,2020-11,33,1
293,2020-11,33,1
294,2020-11,33,0
295,2020-11,33,1
296,2020-11,33,0
297,2020-11,44,0
298,2020-11,44,2
299,2020-11,44,1
300,2020-11,44,0
301,2020-11,44,2
302,2020-11,44,0
303,2020-11,44,1
304,2020-11,44,0
305,2020-11,44,1
306,2020-11,44,0
307,2020-11,44,1
308,2020-11,44,0
309,2020-11,44,1
310,2020-11,44,0
311,2020-11,44,0
312,2020-11,44,0
313,2020-11,44,0
314,2020-11,44,0
315,2020-11,44,1
316,2020-11,44,0
317,2020-11,44,0
318,2020-11,44,1
319,2020-11,44,0
320,2020-11,44,0
321,2020-11,44,1
322,2020-11,44,0
323,2020-11,44,1
324,2020-11,44,1
325,2020-11,44,0
326,2020-11,44,7
327,2020-11,44,0
328,2020-11,44,0
329,2020-11,44,1
330,2020-11,44,0
331,2020-11,44,0
332,2020-11,44,1
333,2020-11,44,1
334,2020-11,44,1
335,2020-11,44,1
336,2020-11,44,0
337,2020-11,44,1
338,2020-11,44,0
339,2020-11,44,0
340,2020-11,44,2
341,2020-11,44,0
342,2020-11,44,0
343,2020-11,44,1
344,2020-11,44,1
345,2020-11,44,0
346,2020-11,44,1
347,2020-11,44,0
348,2020-11,44,0
349,2020-11,44,0
350,2020-11,44,1
351,2020-11,44,0
352,2020-11,44,0
353,2020-11,44,0
354,2020-11,44,1
355,2020-11,44,0
356,2020-11,44,0
357,2020-11,44,0
358,2020-11,44,0
359,2020-11,44,0
360,2020-11,44,0
361,2020-11,44,0
362,2020-11,44,0
363,2020-11,44,0
364,2020-11,44,1
365,2020-11,44,1
366,2020-11,44,1
367,2020-11,44,0
368,2020-11,44,0
369,2020-11,44,1
370,2020-11,44,1
371,2020-11,44,0
372,2020-11,44,0
373,2020-11,44,1
374,2020-11,44,0
375,2020-11,44,0
376,2020-11,44,0
377,2020-11,44,0
378,2020-11,44,1
379,2020-11,44,0
380,2020-11,44,1
381,2020-11,44,0
382,2020-11,44,0
383,2020-11,44,0
384,2020-11,44,0
385,2020-11,44,0
386,2020-11,44,1
387,2020-11,44,0
388,2020-11,44,0
389,2020-11,44,0
390,2020-11,44,1
391,2020-11,44,0
392,2020-11,44,0
393,2020-11,44,0
394,2020-11,44,0
395,2020-11,44,0
396,2020-11,44,0
397,2020-11,44,0
398,2020-11,44,0
399,2020-11,44,0
400,2020-11,44,0
401,2020-11,44,0
402,2020-11,44,0
403,2020-11,44,0
404,2020-11,44,0
405,2020-11,44,1
406,2020-11,44,0
407,2020-11,44,0
408,2020-11,44,0
409,2020-11,44,0
410,2020-11,44,0
411,2020-11,44,0
412,2020-11,44,0
413,2020-11,44,0
414,2020-11,44,0
415,2020-11,44,0
416,2020-11,44,1
417,2020-11,44,0
418,2020-11,44,0
419,2020-11,44,1
420,2020-11,44,0
421,2020-11,44,0
422,2020-11,44,0
423,2020-11,44,0
424,2020-11,44,0
425,2020-11,44,0
426,2020-11,44,0
427,2020-11,44,0
428,2020-11,44,0
429,2020-11,44,0
430,2020-11,44,0
431,2020-11,44,0
432,2020-11,44,0
433,2020-11,44,0
434,2020-11,44,0
435,2020-11,44,0
436,2020-11,44,0
437,2020-11,44,0
438,2020-11,44,1
439,2020-11,44,0
440,2020-11,44,0
441,2020-11,44,0
442,2020-11,44,0
443,2020-11,44,0
444,2020-11,44,0
445,2020-11,44,0
446,2020-11,44,0
447,2020-11,44,0
448,2020-11,44,0
449,2020-11,44,0
450,2020-11,44,0
451,2020-11,44,0
452,2020-11,44,0
453,2020-11,44,0
454,2020-11,44,0
455,2020-11,44,0
456,2020-11,44,0
457,2020-11,44,0
458,2020-11,44,0
459,2020-11,44,1
460,2020-11,44,0
461,2020-11,44,0
462,2020-11,44,0
463,2020-11,44,0
464,2020-11,44,1
465,2020-11,44,0
466,2020-11,44,0
467,2020-11,44,0
468,2020-11,44,0
469,2020-11,44,0
470,2020-11,44,0
471,2020-11,44,0
472,2020-11,44,1
473,2020-11,44,1
474,2020-11,44,0
475,2020-11,44,0
476,2020-11,44,0
477,2020-11,44,0
478,2020-11,44,0
479,2020-11,44,1
480,2020-11,44,0
481,2020-11,44,0
482,2020-11,44,1
483,2020-11,44,0
484,2020-11,44,0
485,2020-11,44,0
486,2020-11,44,2
487,2020-11,44,0
488,2020-11,44,1
489,2020-11,44,0
490,2020-11,44,1
491,2020-11,44,1
492,2020-11,44,1
493,2020-11,44,0
494,2020-11,44,0
495,2020-11,44,0
496,2020-11,44,0
497,2020-11,44,0
498,2020-11,44,1
499,2020-11,44,1
500,2020-11,44,0
501,2020-11,44,0
502,2020-11,44,0
503,2020-11,44,0
504,2020-11,44,0
505,2020-11,44,0
506,2020-11,44,1
507,2020-11,44,0
508,2020-11,44,0
509,2020-11,44,0
510,2020-11,44,0
511,2020-11,44,0
512,2020-11,44,0
513,2020-11,44,1
514,2020-11,44,1
515,2020-11,44,0
516,2020-11,44,0
517,2020-11,44,0
518,2020-11,44,1
519,2020-11,44,0
520,2020-11,44,0
521,2020-11,44,0
522,2020-11,44,1
523,2020-11,44,0
524,2020-11,44,0
525,2020-11,44,1
526,2020-11,44,0
527,2020-11,44,0
528,2020-11,44,0
529,2020-11,44,0
530,2020-11,44,1
531,2020-11,44,0
532,2020-11,44,0
533,2020-11,44,0
534,2020-11,44,0
535,2020-11,44,1
536,2020-11,44,1
537,2020-11,44,0
538,2020-11,44,0
539,2020-11,44,1
540,2020-11,44,0
541,2020-11,44,1
542,2020-11,44,0
543,2020-11,44,0
544,2020-11,44,1
545,2020-11,44,0
546,2020-11,44,0
547,2020-11,44,1
548,2020-11,44,0
549,2020-11,44,0
550,2020-11,44,1
551,2020-11,44,1
552,2020-11,44,2
553,2020-11,44,0
554,2020-11,44,1
555,2020-11,44,1
556,2020-11,44,0
557,2020-11,44,1
558,2020-11,44,0
559,2020-11,44,0
560,2020-11,44,1
561,2020-11,44,0
562,2020-11,44,0
563,2020-11,44,1
564,2020-11,44,1
565,2020-11,44,0
566,2020-11,44,0
567,2020-11,44,0
568,2020-11,44,1
569,2020-11,44,1
570,2020-11,44,2
571,2020-11,44,1
572,2020-11,44,0
573,2020-11,44,0
574,2020-11,44,0
575,2020-11,44,0
576,2020-11,44,1
577,2020-11,44,0
578,2020-11,44,1
579,2020-11,44,0
580,2020-11,44,1
581,2020-11,44,1
582,2020-11,44,1
583,2020-11,44,0
584,2020-11,44,1
585,2020-11,44,0
586,2020-11,44,1
587,2020-11,44,0
588,2020-11,44,0
589,2020-11,44,1
590,2020-11,44,1
591,2020-11,44,0
592,2020-11,44,1
593,2020-11,44,1
594,2020-11,44,0
595,2020-11,44,1
596,2020-11,44,0
597,2020-11,44,0
598,2020-11,44,0
599,2020-11,44,0
600,2020-11,44,1
601,2020-11,44,0
602,2020-11,44,0
603,2020-11,44,0
604,2020-11,44,1
605,2020-11,44,0
606,2020-11,44,0
607,2020-11,44,0
608,2020-11,44,0
609,2020-11,44,0
610,2020-11,44,0
611,2020-11,44,0
612,2020-11,44,0
613,2020-11,44,0
614,2020-11,44,1
615,2020-11,44,0
616,2020-11,44,0
617,2020-11,44,1
618,2020-11,44,0
619,2020-11,44,1
620,2020-11,44,0
621,2020-11,44,1
622,2020-11,44,5
623,2020-11,44,0
624,2020-11,44,1
625,2020-11,44,0
626,2020-11,44,0
627,2020-11,44,1
628,2020-11,44,0
629,2020-11,44,1
630,2020-11,44,1
631,2020-11,44,0
632,2020-11,44,2
633,2020-11,44,0
634,2020-11,44,0
635,2020-11,44,0
636,2020-11,44,0
637,2020-11,44,0
638,2020-11,44,0
639,2020-11,44,0
640,2020-11,67,0
641,2020-11,67,0
642,2020-11,67,0
643,2020-11,67,1
644,2020-11,67,0
645,2020-11,67,2
646,2020-11,67,0
647,2020-11,67,1
648,2020-11,67,2
649,2020-11,67,3
650,2020-11,67,0
651,2020-11,67,0
652,2020-11,67,1
653,2020-11,67,1
654,2020-11,67,1
655,2020-11,67,2
656,2020-11,67,1
657,2020-11,67,1
658,2020-11,67,1
659,2020-11,67,1
660,2020-11,67,1
661,2020-11,67,1
662,2020-11,67,1
663,2020-11,67,1
664,2020-11,67,0
665,2020-11,67,1
666,2020-11,67,1
667,2020-11,67,0
668,2020-11,67,1
669,2020-11,67,0
670,2020-11,67,1
671,2020-11,67,0
672,2020-11,67,1
673,2020-11,67,2
674,2020-11,67,2
675,2020-11,67,1
676,2020-11,67,1
677,2020-11,67,1
678,2020-11,67,1
679,2020-11,67,0
680,2020-11,67,1
681,2020-11,67,1
682,2020-11,67,1
683,2020-11,67,3
684,2020-11,67,1
685,2020-11,67,0
686,2020-11,67,2
687,2020-11,67,3
688,2020-11,67,1
689,2020-11,67,1
690,2020-11,67,1
691,2020-11,67,1
692,2020-11,67,1
693,2020-11,67,1
694,2020-11,67,1
695,2020-11,67,2
696,2020-11,67,0
697,2020-11,67,2
698,2020-11,67,1
699,2020-11,67,2
700,2020-11,67,1
701,2020-11,67,2
702,2020-11,67,1
703,2020-11,67,1
704,2020-11,67,1
705,2020-11,67,1
706,2020-11,67,1
707,2020-11,67,1
708,2020-11,67,1
709,2020-11,67,3
710,2020-11,67,1
711,2020-11,67,1
712,2020-11,67,0
713,2020-11,67,2
714,2020-11,67,3
715,2020-11,67,0
716,2020-11,75,1
717,2020-11,75,0
718,2020-11,75,0
719,2020-11,75,1
720,2020-11,75,1
721,2020-11,75,0
722,2020-11,75,0
723,2020-11,75,0
724,2020-11,75,1
725,2020-11,75,1
726,2020-11,75,0
727,2020-11,75,0
728,2020-11,75,0
729,2020-11,75,1
730,2020-11,75,0
731,2020-11,75,1
732,2020-11,75,0
733,2020-11,75,1
734,2020-11,75,1
735,2020-11,75,1
736,2020-11,75,0
737,2020-11,75,0
738,2020-11,75,0
739,2020-11,75,0
740,2020-11,75,1
741,2020-11,75,1
742,2020-11,75,0
743,2020-11,75,1
744,2020-11,75,0
745,2020-11,75,1
746,2020-11,75,0
747,2020-11,75,1
748,2020-11,75,1
749,2020-11,75,1
750,2020-11,75,0
751,2020-11,75,0
752,2020-11,75,0
753,2020-11,75,0
754,2020-11,75,1
755,2020-11,75,1
756,2020-11,75,0
757,2020-11,75,0
758,2020-11,75,0
759,2020-11,75,0
760,2020-11,75,0
761,2020-11,75,1
762,2020-11,75,0
763,2020-11,75,1
764,2020-11,75,1
765,2020-11,75,0
766,2020-11,75,1
767,2020-11,75,0
768,2020-11,75,0
769,2020-11,75,1
770,2020-11,75,1
771,2020-11,75,0
772,2020-11,75,1
773,2020-11,75,1
774,2020-11,75,0
775,2020-11,75,0
776,2020-11,75,2
777,2020-11,75,0
778,2020-11,75,1
779,2020-11,75,0
780,2020-11,75,1
781,2020-11,75,1
782,2020-11,75,1
783,2020-11,75,1
784,2020-11,75,0
785,2020-11,75,0
786,2020-11,75,1
787,2020-11,75,1
788,2020-11,75,0
789,2020-11,75,0
790,2020-11,75,0
791,2020-11,75,0
792,2020-11,75,1
793,2020-11,75,1
794,2020-11,75,1
795,2020-11,75,0
796,2020-11,75,1
797,2020-11,75,2
798,2020-11,75,1
799,2020-11,75,2
800,2020-11,75,0
801,2020-11,75,1
802,2020-11,75,0
803,2020-11,75,1
804,2020-11,75,0
805,2020-11,75,0
806,2020-11,75,0
807,2020-11,75,1
808,2020-11,75,2
809,2020-11,75,1
810,2020-11,75,1
811,2020-11,75,1
812,2020-11,75,1
813,2020-11,75,0
814,2020-11,75,1
815,2020-11,75,0
816,2020-11,75,1
817,2020-11,75,0
818,2020-11,75,2
819,2020-11,75,0
820,2020-11,75,0
821,2020-11,75,0
822,2020-11,75,0
823,2020-11,75,0
824,2020-11,75,1
825,2020-11,75,1
826,2020-11,75,0
827,2020-11,75,0
828,2020-11,75,0
829,2020-11,75,0
830,2020-11,75,0
831,2020-11,75,0
832,2020-11,75,1
833,2020-11,75,1
834,2020-11,75,1
835,2020-11,75,1
836,2020-11,75,0
837,2020-11,75,2
838,2020-11,75,1
839,2020-11,75,1
840,2020-11,75,0
841,2020-11,75,0
842,2020-11,75,0
843,2020-11,75,0
844,2020-11,75,1
845,2020-11,75,0
846,2020-11,75,0
847,2020-11,75,1
848,2020-11,75,0
849,2020-11,75,0
850,2020-11,75,0
851,2020-11,75,0
852,2020-11,75,0
853,2020-11,75,0
854,2020-11,75,1
855,2020-11,75,0
856,2020-11,75,1
857,2020-11,75,0
858,2020-11,75,0
859,2020-11,75,1
860,2020-11,75,1
861,2020-11,75,0
862,2020-11,75,0
863,2020-11,75,0
864,2020-11,75,1
865,2020-11,75,0
866,2020-11,75,0
867,2020-11,75,0
868,2020-11,75,0
869,2020-11,75,0
870,2020-11,75,0
871,2020-11,75,1
872,2020-11,75,1
873,2020-11,75,1
874,2020-11,75,1
875,2020-11,75,1
876,2020-11,75,1
877,2020-11,75,1
878,2020-11,75,0
879,2020-11,75,0
880,2020-11,75,1
881,2020-11,75,1
882,2020-11,75,1
883,2020-11,75,1
884,2020-11,75,0
885,2020-11,75,1
886,2020-11,75,2
887,2020-11,75,1
888,2020-11,75,0
889,2020-11,75,1
890,2020-11,75,0
891,2020-11,75,1
892,2020-11,75,0
893,2020-11,75,0
894,2020-11,75,0
895,2020-11,75,0
896,2020-11,75,0
897,2020-11,75,0
898,2020-11,75,0
899,2020-11,75,1
900,2020-11,75,0
901,2020-11,75,2
902,2020-11,75,1
903,2020-11,75,1
904,2020-11,75,3
905,2020-11,75,1
906,2020-11,75,0
907,2020-11,75,0
908,2020-11,75,2
909,2020-11,75,0
910,2020-11,75,0
911,2020-11,75,1
912,2020-11,75,0
913,2020-11,75,0
914,2020-11,75,1
915,2020-11,75,1
916,2020-11,75,0
917,2020-11,75,0
918,2020-11,75,1
919,2020-11,75,1
920,2020-11,75,0
921,2020-11,75,1
922,2020-11,75,1
923,2020-11,75,1
924,2020-11,75,0
925,2020-11,75,0
926,2020-11,75,0
927,2020-11,75,0
928,2020-11,75,0
929,2020-11,75,0
930,2020-11,75,0
931,2020-11,75,3
932,2020-11,75,2
933,2020-11,75,2
934,2020-11,75,0
935,2020-11,75,1
936,2020-11,75,1
937,2020-11,75,1
938,2020-11,75,1
939,2020-11,75,1
940,2020-11,75,0
941,2020-11,75,0
942,2020-11,75,1
943,2020-11,75,0
944,2020-11,75,1
945,2020-11,75,0
946,2020-11,75,1
947,2020-11,75,0
948,2020-11,75,0
949,2020-11,75,0
950,2020-11,75,1
951,2020-11,75,1
952,2020-11,75,0
953,2020-11,75,1
954,2020-11,75,1
955,2020-11,75,1
956,2020-11,75,1
957,2020-11,75,1
958,2020-11,75,0
959,2020-11,75,1
960,2020-11,75,1
961,2020-11,75,1
962,2020-11,75,1
963,2020-11,75,0
964,2020-11,75,1
965,2020-11,75,1
966,2020-11,75,1
967,2020-11,75,2
968,2020-11,75,0
