,createdAt,territory,COUNT
969,2020-11,75,0
970,2020-11,75,0
971,2020-11,75,0
972,2020-11,75,0
973,2020-11,75,0
974,2020-11,75,0
975,2020-11,75,1
976,2020-11,75,1
977,2020-11,75,1
978,2020-11,75,1
979,2020-11,75,1
980,2020-11,75,1
981,2020-11,75,1
982,2020-11,75,1
983,2020-11,75,1
984,2020-11,75,0
985,2020-11,75,0
986,2020-11,75,0
987,2020-11,75,0
988,2020-11,75,0
989,2020-11,75,0
990,2020-11,75,1
991,2020-11,75,0
992,2020-11,75,0
993,2020-11,75,0
994,2020-11,75,0
995,2020-11,75,0
996,2020-11,75,0
997,2020-11,75,0
998,2020-11,75,0
999,2020-11,75,0
1000,2020-11,75,0
1001,2020-11,75,1
1002,2020-11,75,0
1003,2020-11,75,0
1004,2020-11,75,0
1005,2020-11,75,0
1006,2020-11,75,0
1007,2020-11,75,1
1008,2020-11,75,0
1009,2020-11,75,0
1010,2020-11,75,0
1011,2020-11,75,1
1012,2020-11,75,0
1013,2020-11,75,1
1014,2020-11,75,0
1015,2020-11,75,0
1016,2020-11,75,2
1017,2020-11,75,0
1018,2020-11,75,0
1019,2020-11,75,1
1020,2020-11,75,0
1021,2020-11,75,0
1022,2020-11,75,0
1023,2020-11,75,2
1024,2020-11,75,0
1025,2020-11,75,0
1026,2020-11,75,0
1027,2020-11,75,1
1028,2020-11,75,1
1029,2020-11,75,0
1030,2020-11,75,2
1031,2020-11,75,1
1032,2020-11,75,1
1033,2020-11,75,1
1034,2020-11,75,1
1035,2020-11,75,0
1036,2020-11,75,1
1037,2020-11,75,0
1038,2020-11,75,1
1039,2020-11,75,0
1040,2020-11,75,0
1041,2020-11,75,1
1042,2020-11,75,1
1043,2020-11,75,0
1044,2020-11,75,0
1045,2020-11,75,0
1046,2020-11,75,2
1047,2020-11,75,0
1048,2020-11,75,1
1049,2020-11,75,1
1050,2020-11,75,0
1051,2020-11,75,0
1052,2020-11,75,0
1053,2020-11,75,1
1054,2020-11,75,1
1055,2020-11,75,1
1056,2020-11,75,1
1057,2020-11,75,0
1058,2020-11,75,0
1059,2020-11,75,0
1060,2020-11,75,0
1061,2020-11,75,0
1062,2020-11,75,0
1063,2020-11,75,1
1064,2020-11,75,0
1065,2020-11,75,0
1066,2020-11,75,1
1067,2020-11,75,1
1068,2020-11,75,0
1069,2020-11,75,0
1070,2020-11,75,0
1071,2020-11,75,1
1072,2020-11,75,1
1073,2020-11,75,0
1074,2020-11,75,1
1075,2020-11,75,0
1076,2020-11,75,0
1077,2020-11,75,1
1078,2020-11,75,0
1079,2020-11,75,2
1080,2020-11,75,2
1081,2020-11,75,1
1082,2020-11,75,0
1083,2020-11,75,0
1084,2020-11,75,1
1085,2020-11,75,0
1086,2020-11,75,1
1087,2020-11,75,1
1088,2020-11,75,1
1089,2020-11,75,1
1090,2020-11,75,0
1091,2020-11,75,0
1092,2020-11,75,0
1093,2020-11,75,0
1094,2020-11,75,1
1095,2020-11,75,0
1096,2020-11,75,0
1097,2020-11,75,0
1098,2020-11,75,1
1099,2020-11,75,1
1100,2020-11,75,0
1101,2020-11,75,0
1102,2020-11,75,0
1103,2020-11,75,0
1104,2020-11,75,0
1105,2020-11,75,1
1106,2020-11,75,0
1107,2020-11,75,1
1108,2020-11,75,0
1109,2020-11,75,0
1110,2020-11,75,0
1111,2020-11,75,1
1112,2020-11,75,0
1113,2020-11,75,0
1114,2020-11,75,0
1115,2020-11,75,1
1116,2020-11,75,1
1117,2020-11,75,0
1118,2020-11,75,0
1119,2020-11,75,0
1120,2020-11,75,0
1121,2020-11,75,0
1122,2020-11,75,2
1123,2020-11,75,0
1124,2020-11,75,2
1125,2020-11,75,0
1126,2020-11,75,0
1127,2020-11,75,0
1128,2020-11,75,0
1129,2020-11,75,0
1130,2020-11,75,0
1131,2020-11,75,0
1132,2020-11,75,0
1133,2020-11,75,0
1134,2020-11,75,1
1135,2020-11,75,1
1136,2020-11,75,0
1137,2020-11,75,1
1138,2020-11,75,1
1139,2020-11,75,0
1140,2020-11,75,0
1141,2020-11,75,0
1142,2020-11,75,0
1143,2020-11,75,0
1144,2020-11,75,1
1145,2020-11,75,0
1146,2020-11,75,1
1147,2020-11,75,0
1148,2020-11,75,1
1149,2020-11,75,1
1150,2020-11,75,1
1151,2020-11,75,1
1152,2020-11,75,2
1153,2020-11,75,0
1154,2020-11,75,0
1155,2020-11,75,1
1156,2020-11,75,2
1157,2020-11,75,1
1158,2020-11,75,2
1159,2020-11,75,1
1160,2020-11,75,2
1161,2020-11,75,2
1162,2020-11,75,2
1163,2020-11,75,2
1164,2020-11,75,1
1165,2020-11,75,0
1166,2020-11,75,0
1167,2020-11,75,0
1168,2020-11,75,0
1169,2020-11,75,1
1170,2020-11,75,1
1171,2020-11,75,1
1172,2020-11,75,1
1173,2020-11,75,0
1174,2020-11,75,0
1175,2020-11,75,0
1176,2020-11,75,0
1177,2020-11,75,0
1178,2020-11,75,1
1179,2020-11,75,0
1180,2020-11,75,0
1181,2020-11,75,0
1182,2020-11,75,0
1183,2020-11,75,0
1184,2020-11,75,1
1185,2020-11,75,0
1186,2020-11,75,1
1187,2020-11,75,0
1188,2020-11,75,0
1189,2020-11,75,1
1190,2020-11,75,0
1191,2020-11,75,0
1192,2020-11,75,0
1193,2020-11,75,1
1194,2020-11,75,0
1195,2020-11,75,0
1196,2020-11,75,1
1197,2020-11,75,0
1198,2020-11,75,0
1199,2020-11,75,0
1200,2020-11,75,1
1201,2020-11,75,0
1202,2020-11,75,0
1203,2020-11,75,0
1204,2020-11,75,0
1205,2020-11,75,0
1206,2020-11,75,0
1207,2020-11,75,1
1208,2020-11,75,0
1209,2020-11,75,0
1210,2020-11,75,0
1211,2020-11,75,0
1212,2020-11,75,0
1213,2020-11,75,1
1214,2020-11,75,2
1215,2020-11,75,0
1216,2020-11,75,0
1217,2020-11,75,0
1218,2020-11,75,0
1219,2020-11,75,0
1220,2020-11,75,1
1221,2020-11,75,1
1222,2020-11,75,0
1223,2020-11,75,0
1224,2020-11,75,0
1225,2020-11,75,0
1226,2020-11,75,0
1227,2020-11,75,1
1228,2020-11,75,0
1229,2020-11,75,0
1230,2020-11,75,0
1231,2020-11,75,0
1232,2020-11,75,0
1233,2020-11,75,0
1234,2020-11,75,0
1235,2020-11,75,2
1236,2020-11,75,1
1237,2020-11,75,0
1238,2020-11,75,0
1239,2020-11,75,0
1240,2020-11,75,0
1241,2020-11,75,1
1242,2020-11,75,1
1243,2020-11,75,0
1244,2020-11,75,1
1245,2020-11,75,0
1246,2020-11,75,0
1247,2020-11,75,0
1248,2020-11,75,0
1249,2020-11,75,1
1250,2020-11,75,0
1251,2020-11,78,1
1252,2020-11,78,0
1253,2020-11,78,0
1254,2020-11,78,1
1255,2020-11,78,0
1256,2020-11,78,0
1257,2020-11,78,1
1258,2020-11,78,1
1259,2020-11,78,1
1260,2020-11,78,1
1261,2020-11,78,1
1262,2020-11,78,0
1263,2020-11,78,1
1264,2020-11,78,1
1265,2020-11,78,0
1266,2020-11,78,1
1267,2020-11,78,0
1268,2020-11,78,0
1269,2020-11,78,0
1270,2020-11,78,0
1271,2020-11,78,0
1272,2020-11,78,0
1273,2020-11,78,2
1274,2020-11,78,1
1275,2020-11,78,0
1276,2020-11,78,1
1277,2020-11,78,0
1278,2020-11,78,1
1279,2020-11,78,1
1280,2020-11,78,1
1281,2020-11,78,0
1282,2020-11,78,0
1283,2020-11,78,0
1284,2020-11,78,1
1285,2020-11,78,1
1286,2020-11,78,1
1287,2020-11,78,1
1288,2020-11,78,0
1289,2020-11,78,1
1290,2020-11,78,2
1291,2020-11,78,0
1292,2020-11,78,0
1293,2020-11,78,2
1294,2020-11,78,0
1295,2020-11,78,0
1296,2020-11,78,1
1297,2020-11,78,0
1298,2020-11,78,0
1299,2020-11,78,0
1300,2020-11,78,0
1301,2020-11,78,0
1302,2020-11,78,0
1303,2020-11,78,0
1304,2020-11,78,1
1305,2020-11,78,0
1306,2020-11,78,0
1307,2020-11,78,0
1308,2020-11,78,0
1309,2020-11,78,0
1310,2020-11,78,0
1311,2020-11,78,1
1312,2020-11,78,0
1313,2020-11,78,0
1314,2020-11,78,1
1315,2020-11,78,0
1316,2020-11,78,1
1317,2020-11,78,0
1318,2020-11,78,0
1319,2020-11,78,0
1320,2020-11,78,0
1321,2020-11,78,1
1322,2020-11,78,0
1323,2020-11,78,0
1324,2020-11,78,1
1325,2020-11,78,0
1326,2020-11,78,1
1327,2020-11,78,1
1328,2020-11,78,0
1329,2020-11,78,0
1330,2020-11,78,0
1331,2020-11,78,0
1332,2020-11,78,0
1333,2020-11,78,0
1334,2020-11,78,0
1335,2020-11,78,0
1336,2020-11,78,0
1337,2020-11,78,0
1338,2020-11,78,0
1339,2020-11,78,0
1340,2020-11,78,0
1341,2020-11,78,0
1342,2020-11,78,0
1343,2020-11,78,0
1344,2020-11,78,0
1345,2020-11,78,0
1346,2020-11,78,0
1347,2020-11,78,0
1348,2020-11,78,0
1349,2020-11,78,0
1350,2020-11,78,0
1351,2020-11,78,0
1352,2020-11,78,0
1353,2020-11,78,0
1354,2020-11,78,0
1355,2020-11,78,1
1356,2020-11,78,0
1357,2020-11,78,0
1358,2020-11,78,0
1359,2020-11,78,0
1360,2020-11,78,0
1361,2020-11,78,0
1362,2020-11,78,0
1363,2020-11,78,0
1364,2020-11,78,0
1365,2020-11,78,0
1366,2020-11,78,0
1367,2020-11,78,1
1368,2020-11,78,0
1369,2020-11,78,0
1370,2020-11,78,0
1371,2020-11,78,0
1372,2020-11,78,0
1373,2020-11,78,1
1374,2020-11,78,0
1375,2020-11,78,0
1376,2020-11,78,0
1377,2020-11,78,0
1378,2020-11,78,0
1379,2020-11,78,0
1380,2020-11,78,0
1381,2020-11,78,0
1382,2020-11,78,0
1383,2020-11,78,0
1384,2020-11,78,0
1385,2020-11,78,1
1386,2020-11,78,0
1387,2020-11,78,1
1388,2020-11,78,0
1389,2020-11,78,0
1390,2020-11,78,0
1391,2020-11,78,0
1392,2020-11,78,0
1393,2020-11,78,0
1394,2020-11,78,1
1395,2020-11,78,0
1396,2020-11,78,0
1397,2020-11,78,0
1398,2020-11,78,1
1399,2020-11,78,1
1400,2020-11,78,0
1401,2020-11,78,0
1402,2020-11,78,0
1403,2020-11,78,0
1404,2020-11,78,0
1405,2020-11,78,1
1406,2020-11,78,0
1407,2020-11,78,0
1408,2020-11,78,0
1409,2020-11,78,0
1410,2020-11,78,1
1411,2020-11,78,0
1412,2020-11,78,0
1413,2020-11,78,1
1414,2020-11,78,2
1415,2020-11,78,1
1416,2020-11,78,1
1417,2020-11,78,1
1418,2020-11,78,1
1419,2020-11,78,0
1420,2020-11,78,0
1421,2020-11,78,0
1422,2020-11,78,0
1423,2020-11,78,2
1424,2020-11,78,1
1425,2020-11,78,0
1426,2020-11,78,1
1427,2020-11,78,1
1428,2020-11,78,1
1429,2020-11,78,0
1430,2020-11,78,0
1431,2020-11,78,1
1432,2020-11,78,0
1433,2020-11,78,0
1434,2020-11,78,1
1435,2020-11,78,0
1436,2020-11,78,0
1437,2020-11,78,0
1438,2020-11,78,0
1439,2020-11,78,0
1440,2020-11,78,0
1441,2020-11,78,1
1442,2020-11,78,0
1443,2020-11,78,0
1444,2020-11,78,0
1445,2020-11,78,0
1446,2020-11,78,0
1447,2020-11,78,0
1448,2020-11,78,0
1449,2020-11,78,0
1450,2020-11,78,0
1451,2020-11,78,0
1452,2020-11,78,0
1453,2020-11,78,0
1454,2020-11,78,0
1455,2020-11,78,1
1456,2020-11,78,0
1457,2020-11,78,1
1458,2020-11,78,0
1459,2020-11,78,0
1460,2020-11,78,1
1461,2020-11,78,1
1462,2020-11,78,0
1463,2020-11,78,0
1464,2020-11,78,1
1465,2020-11,78,1
1466,2020-11,78,0
1467,2020-11,78,0
1468,2020-11,78,2
1469,2020-11,78,0
1470,2020-11,78,0
1471,2020-11,78,0
1472,2020-11,78,3
1473,2020-11,78,1
1474,2020-11,78,1
1475,2020-11,78,1
1476,2020-11,78,0
1477,2020-11,78,1
1478,2020-11,78,0
1479,2020-11,78,1
1480,2020-11,78,0
1481,2020-11,78,1
1482,2020-11,78,1
1483,2020-11,78,1
1484,2020-11,78,0
1485,2020-11,78,1
1486,2020-11,78,0
1487,2020-11,78,1
1488,2020-11,78,0
1489,2020-11,78,1
1490,2020-11,78,3
1491,2020-11,78,1
1492,2020-11,78,1
1493,2020-11,78,1
1494,2020-11,78,0
1495,2020-11,78,0
1496,2020-11,78,0
1497,2020-11,78,1
1498,2020-11,78,1
1499,2020-11,78,0
1500,2020-11,78,0
1501,2020-11,78,0
1502,2020-11,78,1
1503,2020-11,78,0
1504,2020-11,78,0
1505,2020-11,78,0
1506,2020-11,78,1
1507,2020-11,78,2
1508,2020-11,78,1
1509,2020-11,78,0
1510,2020-11,92,0
1511,2020-11,92,0
1512,2020-11,92,0
1513,2020-11,92,0
1514,2020-11,92,1
1515,2020-11,92,0
1516,2020-11,92,1
1517,2020-11,92,1
1518,2020-11,92,0
1519,2020-11,92,1
1520,2020-11,92,1
1521,2020-11,92,0
1522,2020-11,92,1
1523,2020-11,92,0
1524,2020-11,92,0
1525,2020-11,92,0
1526,2020-11,92,0
1527,2020-11,92,0
1528,2020-11,92,1
1529,2020-11,92,0
1530,2020-11,92,0
1531,2020-11,92,1
1532,2020-11,92,1
1533,2020-11,92,0
1534,2020-11,92,0
1535,2020-11,92,2
1536,2020-11,92,0
1537,2020-11,92,0
1538,2020-11,92,1
1539,2020-11,92,1
1540,2020-11,92,0
1541,2020-11,92,0
1542,2020-11,92,0
1543,2020-11,92,0
1544,2020-11,92,0
1545,2020-11,92,0
1546,2020-11,92,1
1547,2020-11,92,1
1548,2020-11,92,0
1549,2020-11,92,1
1550,2020-11,92,0
1551,2020-11,92,0
1552,2020-11,92,0
1553,2020-11,92,0
1554,2020-11,92,0
1555,2020-11,92,1
1556,2020-11,92,0
1557,2020-11,92,0
1558,2020-11,92,0
1559,2020-11,92,0
1560,2020-11,92,1
1561,2020-11,92,0
1562,2020-11,92,0
1563,2020-11,92,1
1564,2020-11,92,0
1565,2020-11,92,0
1566,2020-11,92,0
1567,2020-11,92,2
1568,2020-11,92,1
1569,2020-11,92,0
1570,2020-11,92,1
1571,2020-11,92,1
1572,2020-11,92,1
1573,2020-11,92,0
1574,2020-11,92,2
1575,2020-11,92,0
1576,2020-11,92,1
1577,2020-11,92,0
1578,2020-11,92,1
1579,2020-11,92,2
1580,2020-11,92,0
1581,2020-11,92,2
1582,2020-11,92,0
1583,2020-11,92,1
1584,2020-11,92,0
1585,2020-11,92,0
1586,2020-11,92,0
1587,2020-11,92,0
1588,2020-11,92,1
1589,2020-11,92,1
1590,2020-11,92,0
1591,2020-11,92,1
1592,2020-11,92,0
1593,2020-11,92,2
1594,2020-11,92,0
1595,2020-11,92,0
1596,2020-11,92,0
1597,2020-11,92,0
1598,2020-11,92,0
1599,2020-11,92,2
1600,2020-11,92,0
1601,2020-11,92,0
1602,2020-11,92,1
1603,2020-11,92,0
1604,2020-11,92,0
1605,2020-11,92,0
1606,2020-11,92,0
1607,2020-11,92,1
1608,2020-11,92,0
1609,2020-11,92,0
1610,2020-11,92,1
1611,2020-11,92,0
1612,2020-11,92,0
1613,2020-11,92,1
1614,2020-11,92,0
1615,2020-11,92,1
1616,2020-11,92,0
1617,2020-11,92,0
1618,2020-11,92,0
1619,2020-11,92,0
1620,2020-11,92,0
1621,2020-11,92,0
1622,2020-11,92,0
1623,2020-11,92,0
1624,2020-11,92,0
1625,2020-11,92,0
1626,2020-11,92,1
1627,2020-11,92,1
1628,2020-11,92,1
1629,2020-11,92,0
1630,2020-11,92,0
1631,2020-11,92,0
1632,2020-11,92,0
1633,2020-11,92,0
1634,2020-11,92,1
1635,2020-11,92,1
1636,2020-11,92,2
1637,2020-11,92,1
1638,2020-11,92,0
1639,2020-11,92,0
1640,2020-11,92,0
1641,2020-11,92,1
1642,2020-11,92,1
1643,2020-11,92,0
1644,2020-11,92,0
1645,2020-11,92,0
1646,2020-11,92,1
1647,2020-11,92,1
1648,2020-11,92,0
1649,2020-11,92,0
1650,2020-11,92,0
1651,2020-11,92,0
1652,2020-11,92,0
1653,2020-11,92,0
1654,2020-11,92,1
1655,2020-11,92,1
1656,2020-11,92,0
1657,2020-11,92,0
1658,2020-11,92,2
1659,2020-11,92,0
1660,2020-11,92,1
1661,2020-11,92,0
1662,2020-11,92,0
1663,2020-11,92,0
1664,2020-11,92,0
1665,2020-11,92,1
1666,2020-11,92,0
1667,2020-11,92,1
1668,2020-11,92,0
1669,2020-11,92,1
1670,2020-11,92,0
1671,2020-11,92,0
1672,2020-11,92,2
1673,2020-11,92,0
1674,2020-11,92,0
1675,2020-11,92,0
1676,2020-11,92,0
1677,2020-11,92,0
1678,2020-11,92,0
1679,2020-11,92,0
1680,2020-11,92,0
1681,2020-11,92,0
1682,2020-11,92,0
1683,2020-11,92,0
1684,2020-11,92,1
1685,2020-11,92,0
1686,2020-11,92,0
1687,2020-11,92,0
1688,2020-11,92,1
1689,2020-11,92,0
1690,2020-11,92,0
1691,2020-11,92,0
1692,2020-11,92,0
1693,2020-11,92,0
1694,2020-11,92,0
1695,2020-11,92,1
1696,2020-11,92,0
1697,2020-11,92,0
1698,2020-11,92,0
1699,2020-11,92,0
1700,2020-11,92,0
1701,2020-11,92,0
1702,2020-11,92,1
1703,2020-11,92,1
1704,2020-11,92,1
1705,2020-11,92,0
1706,2020-11,92,0
1707,2020-11,92,0
1708,2020-11,92,0
1709,2020-11,92,0
1710,2020-11,92,1
1711,2020-11,92,0
1712,2020-11,92,0
1713,2020-11,92,0
1714,2020-11,92,1
1715,2020-11,92,1
1716,2020-11,92,0
1717,2020-11,92,0
1718,2020-11,92,0
1719,2020-11,92,1
1720,2020-11,92,0
1721,2020-11,92,0
1722,2020-11,92,0
1723,2020-11,92,0
1724,2020-11,92,0
1725,2020-11,92,0
1726,2020-11,92,0
1727,2020-11,92,0
1728,2020-11,92,0
1729,2020-11,92,0
1730,2020-11,92,1
1731,2020-11,92,1
1732,2020-11,92,1
1733,2020-11,92,0
1734,2020-11,92,0
1735,2020-11,92,0
1736,2020-11,92,1
1737,2020-11,92,0
1738,2020-11,92,0
1739,2020-11,92,3
1740,2020-11,92,0
1741,2020-11,92,0
1742,2020-11,92,0
1743,2020-11,92,0
1744,2020-11,92,1
1745,2020-11,92,0
1746,2020-11,92,0
1747,2020-11,92,0
1748,2020-11,92,0
1749,2020-11,92,0
1750,2020-11,92,1
1751,2020-11,92,0
1752,2020-11,92,1
1753,2020-11,92,0
1754,2020-11,92,0
1755,2020-11,92,0
1756,2020-11,92,0
1757,2020-11,92,0
1758,2020-11,92,0
1759,2020-11,92,0
1760,2020-11,92,0
1761,2020-11,92,0
1762,2020-11,92,0
1763,2020-11,92,0
1764,2020-11,92,0
1765,2020-11,92,0
1766,2020-11,92,0
1767,2020-11,92,0
1768,2020-11,92,0
1769,2020-11,92,2
1770,2020-11,92,0
1771,2020-11,92,1
1772,2020-11,92,0
1773,2020-11,92,1
1774,2020-11,92,0
1775,2020-11,92,0
1776,2020-11,92,0
1777,2020-11,92,0
1778,2020-11,92,0
1779,2020-11,92,0
1780,2020-11,92,0
1781,2020-11,92,0
1782,2020-11,92,1
1783,2020-11,92,0
1784,2020-11,92,1
1785,2020-11,92,0
1786,2020-11,92,0
1787,2020-11,92,1
1788,2020-11,92,0
1789,2020-11,92,1
1790,2020-11,92,1
1791,2020-11,92,1
1792,2020-11,92,0
1793,2020-11,92,3
1794,2020-11,92,0
1795,2020-11,92,1
1796,2020-11,92,0
1797,2020-11,92,1
1798,2020-11,92,0
1799,2020-11,92,1
1800,2020-11,92,1
1801,2020-11,92,0
1802,2020-11,92,1
1803,2020-11,92,0
1804,2020-11,92,0
1805,2020-11,92,0
1806,2020-11,92,0
1807,2020-11,92,2
1808,2020-11,92,0
1809,2020-11,92,0
1810,2020-11,92,0
1811,2020-11,92,0
1812,2020-11,92,0
1813,2020-11,92,1
1814,2020-11,92,0
1815,2020-11,92,0
1816,2020-11,92,0
1817,2020-11,92,0
1818,2020-11,92,0
1819,2020-11,92,0
1820,2020-11,92,0
1821,2020-11,92,0
1822,2020-11,92,0
1823,2020-11,92,1
1824,2020-11,92,1
1825,2020-11,92,1
1826,2020-11,92,0
1827,2020-11,92,0
1828,2020-11,92,1
1829,2020-11,92,0
1830,2020-11,92,0
1831,2020-11,92,1
1832,2020-11,92,0
1833,2020-11,93,1
1834,2020-11,93,0
1835,2020-11,93,1
1836,2020-11,93,0
1837,2020-11,93,0
1838,2020-11,93,0
1839,2020-11,93,1
1840,2020-11,93,0
1841,2020-11,93,0
1842,2020-11,93,0
1843,2020-11,93,0
1844,2020-11,93,1
1845,2020-11,93,0
1846,2020-11,93,1
1847,2020-11,93,0
1848,2020-11,93,0
1849,2020-11,93,1
1850,2020-11,93,0
1851,2020-11,93,1
1852,2020-11,93,1
1853,2020-11,93,1
1854,2020-11,93,0
1855,2020-11,93,0
1856,2020-11,93,1
1857,2020-11,93,0
1858,2020-11,93,1
1859,2020-11,93,0
1860,2020-11,93,1
1861,2020-11,93,2
1862,2020-11,93,0
1863,2020-11,93,0
1864,2020-11,93,0
1865,2020-11,93,0
1866,2020-11,93,0
1867,2020-11,93,0
1868,2020-11,93,1
1869,2020-11,93,0
1870,2020-11,93,0
1871,2020-11,93,0
1872,2020-11,93,0
1873,2020-11,93,1
1874,2020-11,93,0
1875,2020-11,93,1
1876,2020-11,93,0
1877,2020-11,93,2
1878,2020-11,93,0
1879,2020-11,93,1
1880,2020-11,93,0
1881,2020-11,93,1
